"(0, 0, 0)","(0, 0, 128)","(0, 0, 255)","(0, 128, 0)","(0, 128, 128)","(0, 128, 255)","(0, 255, 0)","(0, 255, 128)","(0, 255, 255)","(128, 0, 0)","(128, 0, 128)","(128, 0, 255)","(128, 128, 0)","(128, 128, 128)","(128, 128, 255)","(128, 255, 0)","(128, 255, 128)","(128, 255, 255)","(255, 0, 0)","(255, 0, 128)","(255, 0, 255)","(255, 128, 0)","(255, 128, 128)","(255, 128, 255)","(255, 255, 0)","(255, 255, 128)","(255, 255, 255)",color,fullpath,length
10324.416240676457,6940.490815757901,6887.432181820147,6935.113675090008,3551.188250171477,3498.129616233712,6883.990403163569,3500.064978245035,3447.0063443072713,6930.104482810368,3546.179057891817,3493.1204239540643,3540.8019172239497,156.87649230538395,103.81785836762649,3489.6786452975102,105.75322037894337,52.69458644118653,6877.409896369182,3493.484471450634,3440.425837512876,3488.1073307827605,104.18190586419708,51.123271926440324,3436.9840588563206,53.058633937757236,0.0,Black,noisy_image_Black_1.0_Black_0.0_0,1.0
9550.791353202168,6564.816291045093,6438.444744513022,6580.677720979075,3594.702658822031,3468.33111228996,6463.095545053145,3477.120482896099,3350.748936364028,6589.412465706442,3603.4374035493997,3477.0658570173364,3619.2988334833885,633.3237713263036,506.9522247942379,3501.7166575574606,515.7415954003768,389.37004886831255,6462.657426161695,3476.682364004644,3350.31081747258,3492.543793938638,506.5687317815495,380.19718524948536,3374.961618012712,388.98655585562403,262.6150093235597,Black,noisy_image_Black_0.9_Black_0.0_0,1.0
8755.136373135241,6225.582342035308,6030.037168317041,6235.259516460913,3705.7054853609475,3510.1603116426686,6002.86805019718,3473.3140190972313,3277.7688453789474,6209.931297689461,3680.3772665895135,3484.8320928712446,3690.0544410150974,1160.5004099151233,964.9552361968446,3457.662974751383,928.1089436514075,732.5637699331284,6020.171628515073,3490.617597415137,3295.072423696856,3500.2947718407163,970.7407407407411,775.195567022462,3267.903305577,738.3492744770248,542.8041007587456,Black,noisy_image_Black_0.8_Black_0.0_0,1.0
7984.539378643685,5914.558722350817,5590.942250192898,5887.191103502227,3817.2104472093633,3493.593975051445,5581.342153206453,3511.3614969135856,3187.7450247556635,5832.6028779792505,3762.6222216863953,3439.005749528472,3735.2546028378074,1665.2739465449254,1341.6574743870033,3429.4056525420165,1359.4249962491426,1035.8085240912221,5577.8308256172795,3507.850169324425,3184.2336971665018,3480.4825504758287,1410.501894182958,1086.885422025035,3174.633600180045,1104.6529438871753,781.0364717292532,Black,noisy_image_Black_0.7_Black_0.0_0,1.0
7252.419187778635,5563.540509259266,5208.837887945818,5558.746066958175,3869.86738843879,3515.1647671253495,5171.231004586765,3482.352326067391,3127.649704753951,5525.9580198688145,3837.0793413494607,3482.3767200360166,3832.2848990483585,2143.406220528978,1788.7035992155345,3444.769836676957,1755.8911581575771,1401.188536844134,5176.137326924719,3487.2586484053477,3132.5560270919095,3482.4642061042528,1793.5855275848774,1438.8829062714321,3094.949143732859,1406.0704652134777,1051.367843900035,Black,noisy_image_Black_0.6_Black_0.0_0,1.0
6461.432023748263,5140.167376650388,4724.708858453368,5220.090985082306,3898.8263379844066,3483.3678197873833,4778.364963777426,3457.100316679534,3041.6417984825093,5211.004214356155,3889.7395672582297,3474.281049061225,3969.6631756901656,2648.3985285922554,2232.940010395235,3527.9371543852876,2206.6725072873814,1791.213989090362,4751.057088048707,3429.7924409507928,3014.33392275377,3509.7160493827187,2188.4514022848084,1772.9928840877935,3067.990028077851,1746.725380979941,1331.266862782924,Black,noisy_image_Black_0.5_Black_0.0_0,1.0
5719.685972865228,4845.855455354078,4337.782755701305,4859.017221793565,3985.186704282416,3477.1140046296337,4369.658200445821,3495.827682934679,2987.7549832818963,4853.6080193330035,3979.777501821846,3471.7048021690757,3992.939268261321,3119.1087507501734,2611.0360510973896,3503.5802469135842,2629.7497294024324,2121.6770297496573,4307.379568008402,3433.549050497258,2925.476350844489,3446.7108169367316,2572.8802994255816,2064.807599772805,2957.3517955890015,2083.5212780778475,1575.4485784250671,Black,noisy_image_Black_0.4_Black_0.0_0,1.0
4885.420824759936,4541.333210090876,3855.204628022122,4471.196577074772,4127.10896240569,3440.980380336931,3850.061205954231,3505.97359128515,2819.845009216394,4513.922150955941,4169.834536286863,3483.705954218111,4099.697903270748,3755.6102886016843,3069.48170653292,3478.562532150208,3134.4749174811377,2448.346335412378,3855.1475587277077,3511.059944058641,2824.931361989886,3440.9233110425284,3096.835696373462,2410.707114304704,2819.787939921983,2475.7003252529057,1789.5717431841567,Black,noisy_image_Black_0.3_Black_0.0_0,1.0
4202.20157643176,4147.078092849801,3459.639738190162,4221.139668531391,4166.016184949418,3478.577830289788,3480.4735189471826,3425.3500353652385,2737.9116807055934,4182.229839141811,4127.106355559853,3439.668000900213,4201.167931241427,4146.044447659465,3458.6060929998307,3460.5017816572354,3405.3782980752885,2717.9399434156408,3518.8500246484896,3463.726541066543,2776.288186406891,3537.7881167481196,3482.664633166155,2795.226278506523,2797.121967163928,2741.9984835819723,2054.560128922326,Black,noisy_image_Black_0.2_Black_0.0_0,1.0
5755.186790016296,5842.103309327833,4720.015458890613,4517.899640453541,4604.816159765083,3482.7283093278397,4091.2655231910385,4178.182042502578,3056.0941920653304,4477.788296253455,4564.704815565004,3442.6169651277464,3240.50114669068,3327.417666002232,2205.329815564984,2813.867029428168,2900.7835487397156,1778.6956983024704,4055.034197102214,4141.95071641376,3019.8628659765127,2817.7470475394475,2904.6635668510044,1782.5757164137488,2391.1129302769227,2478.0294495884827,1355.9415991512353,Black and Navy,noisy_image_Black_3_Navy_2_0,1.0
